"""Meter Reading (MR) Doc. No.""",HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,SM_FORENAME,SM_SURNAME,SM_STREET,SM_STREETNO,SM_POST_CODE1,SM_CITY1,SM_CITY2,SM_EMAIL
Meter Reading (MR) Doc. No.,UpFTUxXIpzbwsvOntVAdUZWRTlMTPYQWzoWWlC+,ATYlTkowjClYXPYTpJhEvBWuOeRRZsDibUUXnzP,tmTPOXtUJBTkOOTzUVqf+nRcqUuUUDPVTWB+XFl,q+uYHuVKVaTWufNXQVAGfUgNGwTNOEokhaUNQIp,3,MANDATORY_READING,Herr,Peter,Schneider,Bergstraße,5,58553,Halver,Buschhausen,peter.schneider@example.com
Meter Reading (MR) Doc. No.,UpFTUxXIpzbwsvOntVAdUZWRTlMTPYQWzoWWlC+,ATYlTkowjClYXPYTpJhEvBWuOeRRZsDibUUXnzP,tmTPOXtUJBTkOOTzUVqf+nRcqUuUUDPVTWB+XFl,q+uYHuVKVaTWufNXQVAGfUgNGwTNOEokhaUNQIp,3,MANDATORY_READING,Herr,Peter,Schneider,Bergstraße,5,58553,Halver,Buschhausen,peter.schneider@example.com
Meter Reading (MR) Doc. No.,UpFTUxXIpzbwsvOntVAdUZWRTlMTPYQWzoWWlC+,ATYlTkowjClYXPYTpJhEvBWuOeRRZsDibUUXnzP,tmTPOXtUJBTkOOTzUVqf+nRcqUuUUDPVTWB+XFl,q+uYHuVKVaTWufNXQVAGfUgNGwTNOEokhaUNQIp,3,MANDATORY_READING,Herr,Peter,Schneider,Bergstraße,5,58553,Halver,Buschhausen,peter.schneider@example.com
Meter Reading (MR) Doc. No.,eGHfgWZiAcUQdlmkYUiFUewJIXHUhNQCQSyxsqR,VJjRYsvcrWtLL+BRc+VUxENqhoWJTXNtgqvwmup,UVjMHzHveHHBQWuHSl/oDQbETMV+JIDQcGzSeVw,ywTvPSP/TjDyofrgJRiYWkyIKZhvInSVZomKIBg,4,MANDATORY_READING,Herr,Julia,Schulz,Waldweg,10,58540,Meinerzhagen,Meinerzhagen,julia.schulz@example.com
Meter Reading (MR) Doc. No.,eGHfgWZiAcUQdlmkYUiFUewJIXHUhNQCQSyxsqR,VJjRYsvcrWtLL+BRc+VUxENqhoWJTXNtgqvwmup,UVjMHzHveHHBQWuHSl/oDQbETMV+JIDQcGzSeVw,ywTvPSP/TjDyofrgJRiYWkyIKZhvInSVZomKIBg,4,MANDATORY_READING,Herr,Julia,Schulz,Waldweg,10,58540,Meinerzhagen,Meinerzhagen,julia.schulz@example.com
Meter Reading (MR) Doc. No.,eGHfgWZiAcUQdlmkYUiFUewJIXHUhNQCQSyxsqR,VJjRYsvcrWtLL+BRc+VUxENqhoWJTXNtgqvwmup,UVjMHzHveHHBQWuHSl/oDQbETMV+JIDQcGzSeVw,ywTvPSP/TjDyofrgJRiYWkyIKZhvInSVZomKIBg,4,MANDATORY_READING,Herr,Julia,Schulz,Waldweg,10,58540,Meinerzhagen,Meinerzhagen,julia.schulz@example.com
Meter Reading (MR) Doc. No.,eGHfgWZiAcUQdlmkYUiFUewJIXHUhNQCQSyxsqR,VJjRYsvcrWtLL+BRc+VUxENqhoWJTXNtgqvwmup,UVjMHzHveHHBQWuHSl/oDQbETMV+JIDQcGzSeVw,ywTvPSP/TjDyofrgJRiYWkyIKZhvInSVZomKIBg,4,MANDATORY_READING,Herr,Julia,Schulz,Waldweg,10,58540,Meinerzhagen,Meinerzhagen,julia.schulz@example.com
Meter Reading (MR) Doc. No.,SrGhCRgRXpIvHZLak/STYWrXZVijVRY/pFPkFwB,dXEtgKyYmKgJYXsQuFrBDFzGYSTVdowqWITMNmf,Ntb+VaDYSDgxUX+wYSULQYOdRSlMb+MbVQk+WhW,DYXZjDvVvQTCnaRpRMrUscQZJfjuwuuezuFPMys,4,MANDATORY_READING,Dipl.-Ing.,Petra,Schneider,Dorfstraße,10,58093,Hagen,Halden,petra.schneider@example.com
Meter Reading (MR) Doc. No.,SrGhCRgRXpIvHZLak/STYWrXZVijVRY/pFPkFwB,dXEtgKyYmKgJYXsQuFrBDFzGYSTVdowqWITMNmf,Ntb+VaDYSDgxUX+wYSULQYOdRSlMb+MbVQk+WhW,DYXZjDvVvQTCnaRpRMrUscQZJfjuwuuezuFPMys,4,MANDATORY_READING,Dipl.-Ing.,Petra,Schneider,Dorfstraße,10,58093,Hagen,Halden,petra.schneider@example.com
Meter Reading (MR) Doc. No.,SrGhCRgRXpIvHZLak/STYWrXZVijVRY/pFPkFwB,dXEtgKyYmKgJYXsQuFrBDFzGYSTVdowqWITMNmf,Ntb+VaDYSDgxUX+wYSULQYOdRSlMb+MbVQk+WhW,DYXZjDvVvQTCnaRpRMrUscQZJfjuwuuezuFPMys,4,MANDATORY_READING,Dipl.-Ing.,Petra,Schneider,Dorfstraße,10,58093,Hagen,Halden,petra.schneider@example.com
Meter Reading (MR) Doc. No.,SrGhCRgRXpIvHZLak/STYWrXZVijVRY/pFPkFwB,dXEtgKyYmKgJYXsQuFrBDFzGYSTVdowqWITMNmf,Ntb+VaDYSDgxUX+wYSULQYOdRSlMb+MbVQk+WhW,DYXZjDvVvQTCnaRpRMrUscQZJfjuwuuezuFPMys,4,MANDATORY_READING,Dipl.-Ing.,Petra,Schneider,Dorfstraße,10,58093,Hagen,Halden,petra.schneider@example.com
Meter Reading (MR) Doc. No.,YzzYHSMlQSYcqUBFK+XvYOPFzrUkSqwAtWqdXys,yNanfjZjtySsYUBaqQXpHpFRZUiCPBCWnUVhkFs,QEnRTJzsPwe/oWWrYcIWWalkUEZKonafwf/ieRq,DrKmXHVxBUZWCZuNGKhzTrbZZyPIUkEEpSuWCyJ,2,MANDATORY_READING,Dipl.-Ing.,Thomas,Fischer,Schulstraße,15,58540,Meinerzhagen,Meinerzhagen,thomas.fischer@example.com
Meter Reading (MR) Doc. No.,YzzYHSMlQSYcqUBFK+XvYOPFzrUkSqwAtWqdXys,yNanfjZjtySsYUBaqQXpHpFRZUiCPBCWnUVhkFs,QEnRTJzsPwe/oWWrYcIWWalkUEZKonafwf/ieRq,DrKmXHVxBUZWCZuNGKhzTrbZZyPIUkEEpSuWCyJ,2,MANDATORY_READING,Dipl.-Ing.,Thomas,Fischer,Schulstraße,15,58540,Meinerzhagen,Meinerzhagen,thomas.fischer@example.com
Meter Reading (MR) Doc. No.,YzzYHSMlQSYcqUBFK+XvYOPFzrUkSqwAtWqdXys,yNanfjZjtySsYUBaqQXpHpFRZUiCPBCWnUVhkFs,QEnRTJzsPwe/oWWrYcIWWalkUEZKonafwf/ieRq,DrKmXHVxBUZWCZuNGKhzTrbZZyPIUkEEpSuWCyJ,2,MANDATORY_READING,Dipl.-Ing.,Thomas,Fischer,Schulstraße,15,58540,Meinerzhagen,Meinerzhagen,thomas.fischer@example.com
Meter Reading (MR) Doc. No.,YzzYHSMlQSYcqUBFK+XvYOPFzrUkSqwAtWqdXys,yNanfjZjtySsYUBaqQXpHpFRZUiCPBCWnUVhkFs,QEnRTJzsPwe/oWWrYcIWWalkUEZKonafwf/ieRq,DrKmXHVxBUZWCZuNGKhzTrbZZyPIUkEEpSuWCyJ,2,MANDATORY_READING,Dipl.-Ing.,Thomas,Fischer,Schulstraße,15,58540,Meinerzhagen,Meinerzhagen,thomas.fischer@example.com
Meter Reading (MR) Doc. No.,sRqiDsYITLtTdVERVszgVGqqNeAOEMmmbriNeKR,tZYUYlKJpcZNVGqrOHVZvXWVJolviTxVoyIBkAy,JnSAPWYGFBSgFOdTuNQdTwKVXnRlRGrpbTmRtX+,olReZzRXZxFRcaRTZxreuSV+RmUXexnqAZftgvI,34,MANDATORY_READING,Dr.,Petra,Schneider,Bergstraße,3b,58840,Plettenberg,Plettenberg I,petra.schneider@example.com
Meter Reading (MR) Doc. No.,sRqiDsYITLtTdVERVszgVGqqNeAOEMmmbriNeKR,tZYUYlKJpcZNVGqrOHVZvXWVJolviTxVoyIBkAy,JnSAPWYGFBSgFOdTuNQdTwKVXnRlRGrpbTmRtX+,olReZzRXZxFRcaRTZxreuSV+RmUXexnqAZftgvI,34,MANDATORY_READING,Dr.,Petra,Schneider,Bergstraße,3b,58840,Plettenberg,Plettenberg I,petra.schneider@example.com
Meter Reading (MR) Doc. No.,sRqiDsYITLtTdVERVszgVGqqNeAOEMmmbriNeKR,tZYUYlKJpcZNVGqrOHVZvXWVJolviTxVoyIBkAy,JnSAPWYGFBSgFOdTuNQdTwKVXnRlRGrpbTmRtX+,olReZzRXZxFRcaRTZxreuSV+RmUXexnqAZftgvI,34,MANDATORY_READING,Dr.,Petra,Schneider,Bergstraße,3b,58840,Plettenberg,Plettenberg I,petra.schneider@example.com
Meter Reading (MR) Doc. No.,sRqiDsYITLtTdVERVszgVGqqNeAOEMmmbriNeKR,tZYUYlKJpcZNVGqrOHVZvXWVJolviTxVoyIBkAy,JnSAPWYGFBSgFOdTuNQdTwKVXnRlRGrpbTmRtX+,olReZzRXZxFRcaRTZxreuSV+RmUXexnqAZftgvI,34,MANDATORY_READING,Dr.,Petra,Schneider,Bergstraße,3b,58840,Plettenberg,Plettenberg I,petra.schneider@example.com
Meter Reading (MR) Doc. No.,xqjGQXReY/IWXBfZZhYViGRVitGpckZGHTySAQO,xzfPMHzNWWZt/EbZwQMQfTrZhGSmEvAMdNtQ/Zl,YOJSJCOaPMCqaFlLWaZQFDtigtPmWJsiSVYWmqS,DQDGvLoWaLoRpsbYsmcckNZwRUZZ/XpqA/fQRRs,6,MANDATORY_READING,Frau,Maria,Fischer,Bahnhofstraße,1a,58840,Plettenberg,Bremcke,maria.fischer@example.com
Meter Reading (MR) Doc. No.,xqjGQXReY/IWXBfZZhYViGRVitGpckZGHTySAQO,xzfPMHzNWWZt/EbZwQMQfTrZhGSmEvAMdNtQ/Zl,YOJSJCOaPMCqaFlLWaZQFDtigtPmWJsiSVYWmqS,DQDGvLoWaLoRpsbYsmcckNZwRUZZ/XpqA/fQRRs,6,MANDATORY_READING,Frau,Maria,Fischer,Bahnhofstraße,1a,58840,Plettenberg,Bremcke,maria.fischer@example.com
Meter Reading (MR) Doc. No.,xqjGQXReY/IWXBfZZhYViGRVitGpckZGHTySAQO,xzfPMHzNWWZt/EbZwQMQfTrZhGSmEvAMdNtQ/Zl,YOJSJCOaPMCqaFlLWaZQFDtigtPmWJsiSVYWmqS,DQDGvLoWaLoRpsbYsmcckNZwRUZZ/XpqA/fQRRs,6,MANDATORY_READING,Frau,Maria,Fischer,Bahnhofstraße,1a,58840,Plettenberg,Bremcke,maria.fischer@example.com
Meter Reading (MR) Doc. No.,xqjGQXReY/IWXBfZZhYViGRVitGpckZGHTySAQO,xzfPMHzNWWZt/EbZwQMQfTrZhGSmEvAMdNtQ/Zl,YOJSJCOaPMCqaFlLWaZQFDtigtPmWJsiSVYWmqS,DQDGvLoWaLoRpsbYsmcckNZwRUZZ/XpqA/fQRRs,6,MANDATORY_READING,Frau,Maria,Fischer,Bahnhofstraße,1a,58840,Plettenberg,Bremcke,maria.fischer@example.com
Meter Reading (MR) Doc. No.,TZv+TyRhRVmVyPUySOcShuUjIHCoRp+jTqjMJVw,xyRMwvUYajEvkeSTT/JStFcIRdcjxLii/omTIdd,VcYpInI+VSRZrTnhGSwVQYEchgsZmhQdYuFlRko,GZvSsHbZQgDFgcWWVVshRWZGyVEiXAYVXTHZRsP,24,MANDATORY_READING,Frau,Peter,Schulz,Dorfstraße,5,58540,Meinerzhagen,Meinerzhagen,peter.schulz@example.com
Meter Reading (MR) Doc. No.,TZv+TyRhRVmVyPUySOcShuUjIHCoRp+jTqjMJVw,xyRMwvUYajEvkeSTT/JStFcIRdcjxLii/omTIdd,VcYpInI+VSRZrTnhGSwVQYEchgsZmhQdYuFlRko,GZvSsHbZQgDFgcWWVVshRWZGyVEiXAYVXTHZRsP,24,MANDATORY_READING,Frau,Peter,Schulz,Dorfstraße,5,58540,Meinerzhagen,Meinerzhagen,peter.schulz@example.com
Meter Reading (MR) Doc. No.,TZv+TyRhRVmVyPUySOcShuUjIHCoRp+jTqjMJVw,xyRMwvUYajEvkeSTT/JStFcIRdcjxLii/omTIdd,VcYpInI+VSRZrTnhGSwVQYEchgsZmhQdYuFlRko,GZvSsHbZQgDFgcWWVVshRWZGyVEiXAYVXTHZRsP,24,MANDATORY_READING,Frau,Peter,Schulz,Dorfstraße,5,58540,Meinerzhagen,Meinerzhagen,peter.schulz@example.com
Meter Reading (MR) Doc. No.,TZv+TyRhRVmVyPUySOcShuUjIHCoRp+jTqjMJVw,xyRMwvUYajEvkeSTT/JStFcIRdcjxLii/omTIdd,VcYpInI+VSRZrTnhGSwVQYEchgsZmhQdYuFlRko,GZvSsHbZQgDFgcWWVVshRWZGyVEiXAYVXTHZRsP,24,MANDATORY_READING,Frau,Peter,Schulz,Dorfstraße,5,58540,Meinerzhagen,Meinerzhagen,peter.schulz@example.com
Meter Reading (MR) Doc. No.,ZCv+kaXjeYmpYkQTVXWBUQYKXFSqafMZtVFbvH+,apZZQitiZdigkkaVWEwJVWluUXnrBzFgTnUXOzR,BeVnKTtAwRAo/SVVghP+mCOWLUbWQ/MJvncXSYl,XuZrqERtRCYl+ytGAcUbfWXZKyWFKXoYZURc+ZN,24,MANDATORY_READING,Herr,Julia,Meyer,Bergstraße,1a,58507,Lüdenscheid,,julia.meyer@example.com
Meter Reading (MR) Doc. No.,ZCv+kaXjeYmpYkQTVXWBUQYKXFSqafMZtVFbvH+,apZZQitiZdigkkaVWEwJVWluUXnrBzFgTnUXOzR,BeVnKTtAwRAo/SVVghP+mCOWLUbWQ/MJvncXSYl,XuZrqERtRCYl+ytGAcUbfWXZKyWFKXoYZURc+ZN,24,MANDATORY_READING,Herr,Julia,Meyer,Bergstraße,1a,58507,Lüdenscheid,,julia.meyer@example.com
Meter Reading (MR) Doc. No.,ZCv+kaXjeYmpYkQTVXWBUQYKXFSqafMZtVFbvH+,apZZQitiZdigkkaVWEwJVWluUXnrBzFgTnUXOzR,BeVnKTtAwRAo/SVVghP+mCOWLUbWQ/MJvncXSYl,XuZrqERtRCYl+ytGAcUbfWXZKyWFKXoYZURc+ZN,24,MANDATORY_READING,Herr,Julia,Meyer,Bergstraße,1a,58507,Lüdenscheid,,julia.meyer@example.com
Meter Reading (MR) Doc. No.,ZCv+kaXjeYmpYkQTVXWBUQYKXFSqafMZtVFbvH+,apZZQitiZdigkkaVWEwJVWluUXnrBzFgTnUXOzR,BeVnKTtAwRAo/SVVghP+mCOWLUbWQ/MJvncXSYl,XuZrqERtRCYl+ytGAcUbfWXZKyWFKXoYZURc+ZN,24,MANDATORY_READING,Herr,Julia,Meyer,Bergstraße,1a,58507,Lüdenscheid,,julia.meyer@example.com
Meter Reading (MR) Doc. No.,gPLSMhrJEvxALEAYSvNrVQZsDXDYniRNyjwROW/,myU+sjlFRIeX+CQDwcuwGRAhmkTKGVpB+QQdUqp,UKMQvKRHfRZVpUOHTZz/cNWXXnuzAi+xphWaPQy,VGhNMVGHRtDUmPIWDNJKprAKZqWOYQUkUIWSloR,2,MANDATORY_READING,Dr.,Klaus,Schmidt,Hauptstraße,50,58540,Meinerzhagen,Meinerzhagen,klaus.schmidt@example.com
Meter Reading (MR) Doc. No.,gPLSMhrJEvxALEAYSvNrVQZsDXDYniRNyjwROW/,myU+sjlFRIeX+CQDwcuwGRAhmkTKGVpB+QQdUqp,UKMQvKRHfRZVpUOHTZz/cNWXXnuzAi+xphWaPQy,VGhNMVGHRtDUmPIWDNJKprAKZqWOYQUkUIWSloR,2,MANDATORY_READING,Dr.,Klaus,Schmidt,Hauptstraße,50,58540,Meinerzhagen,Meinerzhagen,klaus.schmidt@example.com
Meter Reading (MR) Doc. No.,gPLSMhrJEvxALEAYSvNrVQZsDXDYniRNyjwROW/,myU+sjlFRIeX+CQDwcuwGRAhmkTKGVpB+QQdUqp,UKMQvKRHfRZVpUOHTZz/cNWXXnuzAi+xphWaPQy,VGhNMVGHRtDUmPIWDNJKprAKZqWOYQUkUIWSloR,2,MANDATORY_READING,Dr.,Klaus,Schmidt,Hauptstraße,50,58540,Meinerzhagen,Meinerzhagen,klaus.schmidt@example.com
Meter Reading (MR) Doc. No.,gPLSMhrJEvxALEAYSvNrVQZsDXDYniRNyjwROW/,myU+sjlFRIeX+CQDwcuwGRAhmkTKGVpB+QQdUqp,UKMQvKRHfRZVpUOHTZz/cNWXXnuzAi+xphWaPQy,VGhNMVGHRtDUmPIWDNJKprAKZqWOYQUkUIWSloR,2,MANDATORY_READING,Dr.,Klaus,Schmidt,Hauptstraße,50,58540,Meinerzhagen,Meinerzhagen,klaus.schmidt@example.com
Meter Reading (MR) Doc. No.,gPLSMhrJEvxALEAYSvNrVQZsDXDYniRNyjwROW/,myU+sjlFRIeX+CQDwcuwGRAhmkTKGVpB+QQdUqp,UKMQvKRHfRZVpUOHTZz/cNWXXnuzAi+xphWaPQy,VGhNMVGHRtDUmPIWDNJKprAKZqWOYQUkUIWSloR,2,MANDATORY_READING,Dr.,Klaus,Schmidt,Hauptstraße,50,58540,Meinerzhagen,Meinerzhagen,klaus.schmidt@example.com
Meter Reading (MR) Doc. No.,gPLSMhrJEvxALEAYSvNrVQZsDXDYniRNyjwROW/,myU+sjlFRIeX+CQDwcuwGRAhmkTKGVpB+QQdUqp,UKMQvKRHfRZVpUOHTZz/cNWXXnuzAi+xphWaPQy,VGhNMVGHRtDUmPIWDNJKprAKZqWOYQUkUIWSloR,2,MANDATORY_READING,Dr.,Klaus,Schmidt,Hauptstraße,50,58540,Meinerzhagen,Meinerzhagen,klaus.schmidt@example.com
Meter Reading (MR) Doc. No.,fVHWhncyyNUYbMXcblLNkpWSEsJeSxZMJrNBynh,'+aKQppNRgNqW+M+KJUXjELvXmmlykUQjTWjxYIo,UKUUJUxYZUbnRMEUAWcAVyLNaWFtSRwqwYjXNmS,'+WPpcXgIWSalsVSYrUnpUmJbIpVXoVfetwVdqtU,21,MANDATORY_READING,Dr.,Michael,Hoffmann,Marktplatz,15,58099,Hagen,Boele,michael.hoffmann@example.com
Meter Reading (MR) Doc. No.,fVHWhncyyNUYbMXcblLNkpWSEsJeSxZMJrNBynh,'+aKQppNRgNqW+M+KJUXjELvXmmlykUQjTWjxYIo,UKUUJUxYZUbnRMEUAWcAVyLNaWFtSRwqwYjXNmS,'+WPpcXgIWSalsVSYrUnpUmJbIpVXoVfetwVdqtU,21,MANDATORY_READING,Dr.,Michael,Hoffmann,Marktplatz,15,58099,Hagen,Boele,michael.hoffmann@example.com
Meter Reading (MR) Doc. No.,fVHWhncyyNUYbMXcblLNkpWSEsJeSxZMJrNBynh,'+aKQppNRgNqW+M+KJUXjELvXmmlykUQjTWjxYIo,UKUUJUxYZUbnRMEUAWcAVyLNaWFtSRwqwYjXNmS,'+WPpcXgIWSalsVSYrUnpUmJbIpVXoVfetwVdqtU,21,MANDATORY_READING,Dr.,Michael,Hoffmann,Marktplatz,15,58099,Hagen,Boele,michael.hoffmann@example.com
Meter Reading (MR) Doc. No.,fVHWhncyyNUYbMXcblLNkpWSEsJeSxZMJrNBynh,'+aKQppNRgNqW+M+KJUXjELvXmmlykUQjTWjxYIo,UKUUJUxYZUbnRMEUAWcAVyLNaWFtSRwqwYjXNmS,'+WPpcXgIWSalsVSYrUnpUmJbIpVXoVfetwVdqtU,21,MANDATORY_READING,Dr.,Michael,Hoffmann,Marktplatz,15,58099,Hagen,Boele,michael.hoffmann@example.com
Meter Reading (MR) Doc. No.,kxwjSNzkeIXWu+zhstEpLBYSBZYSHWHkAmBRnJS,McXnFZlCWSYQRwrsZYIRfAUeXYWWmtMZQVsgYIK,YpuTWtpPpoJDKmEIvBSUACjACQLAXXrNXUVlzZK,TUHv+SmWX/XYMUtTmJQqBolRXjzwlGyWWNyWUdz,18,MANDATORY_READING,Dipl.-Ing.,Klaus,Schulz,Bergstraße,3b,58097,Hagen,Altenhagen,klaus.schulz@example.com
Meter Reading (MR) Doc. No.,kxwjSNzkeIXWu+zhstEpLBYSBZYSHWHkAmBRnJS,McXnFZlCWSYQRwrsZYIRfAUeXYWWmtMZQVsgYIK,YpuTWtpPpoJDKmEIvBSUACjACQLAXXrNXUVlzZK,TUHv+SmWX/XYMUtTmJQqBolRXjzwlGyWWNyWUdz,18,MANDATORY_READING,Dipl.-Ing.,Klaus,Schulz,Bergstraße,3b,58097,Hagen,Altenhagen,klaus.schulz@example.com
Meter Reading (MR) Doc. No.,kxwjSNzkeIXWu+zhstEpLBYSBZYSHWHkAmBRnJS,McXnFZlCWSYQRwrsZYIRfAUeXYWWmtMZQVsgYIK,YpuTWtpPpoJDKmEIvBSUACjACQLAXXrNXUVlzZK,TUHv+SmWX/XYMUtTmJQqBolRXjzwlGyWWNyWUdz,18,MANDATORY_READING,Dipl.-Ing.,Klaus,Schulz,Bergstraße,3b,58097,Hagen,Altenhagen,klaus.schulz@example.com
Meter Reading (MR) Doc. No.,kxwjSNzkeIXWu+zhstEpLBYSBZYSHWHkAmBRnJS,McXnFZlCWSYQRwrsZYIRfAUeXYWWmtMZQVsgYIK,YpuTWtpPpoJDKmEIvBSUACjACQLAXXrNXUVlzZK,TUHv+SmWX/XYMUtTmJQqBolRXjzwlGyWWNyWUdz,18,MANDATORY_READING,Dipl.-Ing.,Klaus,Schulz,Bergstraße,3b,58097,Hagen,Altenhagen,klaus.schulz@example.com
Meter Reading (MR) Doc. No.,IZuJWZrsbSRm/WkWSeERvQu/boMArTfYOjzcEGi,oUluSmvTnVDWSNMXsIGyfazTppFnmkqZcpRaSrT,ZhmqbRfZjctzuhpjPJmzDomeFqRHWtDFpRdFULZ,BQpQcgamfB+z/NZJRVZaytizzZRFZzmmNYLZzjk,9,MANDATORY_READING,Herr,Hans,Becker,Marktplatz,42,58540,Meinerzhagen,Meinerzhagen,hans.becker@example.com
Meter Reading (MR) Doc. No.,IZuJWZrsbSRm/WkWSeERvQu/boMArTfYOjzcEGi,oUluSmvTnVDWSNMXsIGyfazTppFnmkqZcpRaSrT,ZhmqbRfZjctzuhpjPJmzDomeFqRHWtDFpRdFULZ,BQpQcgamfB+z/NZJRVZaytizzZRFZzmmNYLZzjk,9,MANDATORY_READING,Herr,Hans,Becker,Marktplatz,42,58540,Meinerzhagen,Meinerzhagen,hans.becker@example.com
Meter Reading (MR) Doc. No.,IZuJWZrsbSRm/WkWSeERvQu/boMArTfYOjzcEGi,oUluSmvTnVDWSNMXsIGyfazTppFnmkqZcpRaSrT,ZhmqbRfZjctzuhpjPJmzDomeFqRHWtDFpRdFULZ,BQpQcgamfB+z/NZJRVZaytizzZRFZzmmNYLZzjk,9,MANDATORY_READING,Herr,Hans,Becker,Marktplatz,42,58540,Meinerzhagen,Meinerzhagen,hans.becker@example.com
Meter Reading (MR) Doc. No.,IZuJWZrsbSRm/WkWSeERvQu/boMArTfYOjzcEGi,oUluSmvTnVDWSNMXsIGyfazTppFnmkqZcpRaSrT,ZhmqbRfZjctzuhpjPJmzDomeFqRHWtDFpRdFULZ,BQpQcgamfB+z/NZJRVZaytizzZRFZzmmNYLZzjk,9,MANDATORY_READING,Herr,Hans,Becker,Marktplatz,42,58540,Meinerzhagen,Meinerzhagen,hans.becker@example.com
Meter Reading (MR) Doc. No.,jBraHYoKrcLHvGarqliXsHMRmyjmSxsZlzIMmkH,xjrvnOzbpYNgszrAMm+hDvVivZXDZWLmgkSmXAR,XfgSWLD/DBoeWQnQbWELNMJxrpMhQiGQkQpFQzT,IHtwypXQQgRto/FpU/EhyJSIxPl/VjzkHYfGCxh,29,MANDATORY_READING,Prof.,Thomas,Hoffmann,Schulstraße,15,58099,Hagen,Boele,thomas.hoffmann@example.com
Meter Reading (MR) Doc. No.,jBraHYoKrcLHvGarqliXsHMRmyjmSxsZlzIMmkH,xjrvnOzbpYNgszrAMm+hDvVivZXDZWLmgkSmXAR,XfgSWLD/DBoeWQnQbWELNMJxrpMhQiGQkQpFQzT,IHtwypXQQgRto/FpU/EhyJSIxPl/VjzkHYfGCxh,29,MANDATORY_READING,Prof.,Thomas,Hoffmann,Schulstraße,15,58099,Hagen,Boele,thomas.hoffmann@example.com
Meter Reading (MR) Doc. No.,jBraHYoKrcLHvGarqliXsHMRmyjmSxsZlzIMmkH,xjrvnOzbpYNgszrAMm+hDvVivZXDZWLmgkSmXAR,XfgSWLD/DBoeWQnQbWELNMJxrpMhQiGQkQpFQzT,IHtwypXQQgRto/FpU/EhyJSIxPl/VjzkHYfGCxh,29,MANDATORY_READING,Prof.,Thomas,Hoffmann,Schulstraße,15,58099,Hagen,Boele,thomas.hoffmann@example.com
Meter Reading (MR) Doc. No.,jBraHYoKrcLHvGarqliXsHMRmyjmSxsZlzIMmkH,xjrvnOzbpYNgszrAMm+hDvVivZXDZWLmgkSmXAR,XfgSWLD/DBoeWQnQbWELNMJxrpMhQiGQkQpFQzT,IHtwypXQQgRto/FpU/EhyJSIxPl/VjzkHYfGCxh,29,MANDATORY_READING,Prof.,Thomas,Hoffmann,Schulstraße,15,58099,Hagen,Boele,thomas.hoffmann@example.com
Meter Reading (MR) Doc. No.,s/RdjvCpWh/hpVC+RUg+UjTVZLLcSbWyNWMoEEh,iYCtUrXjUPnxgGIKTsFolwNAKrZmvbynuHNBrgN,ZhzWhalEtDLNSlCITWasQZGks/ZFLUHoyhvRRax,TcQE+GOlVLTIngeYVuZHmPak+OjG+VraNSQqE+L,28,MANDATORY_READING,Dr.,Anna,Müller,Hauptstraße,20,58540,Meinerzhagen,Meinerzhagen,anna.müller@example.com
Meter Reading (MR) Doc. No.,s/RdjvCpWh/hpVC+RUg+UjTVZLLcSbWyNWMoEEh,iYCtUrXjUPnxgGIKTsFolwNAKrZmvbynuHNBrgN,ZhzWhalEtDLNSlCITWasQZGks/ZFLUHoyhvRRax,TcQE+GOlVLTIngeYVuZHmPak+OjG+VraNSQqE+L,28,MANDATORY_READING,Dr.,Anna,Müller,Hauptstraße,20,58540,Meinerzhagen,Meinerzhagen,anna.müller@example.com
Meter Reading (MR) Doc. No.,s/RdjvCpWh/hpVC+RUg+UjTVZLLcSbWyNWMoEEh,iYCtUrXjUPnxgGIKTsFolwNAKrZmvbynuHNBrgN,ZhzWhalEtDLNSlCITWasQZGks/ZFLUHoyhvRRax,TcQE+GOlVLTIngeYVuZHmPak+OjG+VraNSQqE+L,28,MANDATORY_READING,Dr.,Anna,Müller,Hauptstraße,20,58540,Meinerzhagen,Meinerzhagen,anna.müller@example.com
Meter Reading (MR) Doc. No.,s/RdjvCpWh/hpVC+RUg+UjTVZLLcSbWyNWMoEEh,iYCtUrXjUPnxgGIKTsFolwNAKrZmvbynuHNBrgN,ZhzWhalEtDLNSlCITWasQZGks/ZFLUHoyhvRRax,TcQE+GOlVLTIngeYVuZHmPak+OjG+VraNSQqE+L,28,MANDATORY_READING,Dr.,Anna,Müller,Hauptstraße,20,58540,Meinerzhagen,Meinerzhagen,anna.müller@example.com
Meter Reading (MR) Doc. No.,MTDBjtuoVLFhqGdzVQyEzfGWKVQhzIitFxsFpmH,wWSAfLrbojY+ZwSK/zuTleYGnSfquXWmGMXnroS,sfNLxQphqWIHuUGxuEUAMuhSYyVXPFtgJUZjZMw,PTTYKQQyuDJrWpiGkIaJwNSuTdUbVIwRIFRZLTM,40,MANDATORY_READING,Prof.,Anna,Fischer,Hauptstraße,5,58507,Lüdenscheid,,anna.fischer@example.com
