Meter Reading (MR) Doc. No.,HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POST_CODE1,CITY1,CITY2,EMAIL
gUrWweZqVWLQiPVuZUDTZCSmutfT/VpSJPVRjFT,RCziSYrxhjEETzuGiRiDsbsCRyrcESRVE+tRyLQ,LXrDuXYeUEvpGYvSYLLSUQGkNHZ/tDuVTXYiokp,METEvVYrJqYsWKfDmuUIXdPEYWkVQirsjHKBqAn,siSa+kzsVaVSrnzHp+aHUofiB+MLxgZXbNJLMhR,25,DIRECT_MAIL,Herr,Thomas,Schmidt,Marktplatz,25,58809,Neuenrade,Neuenrade,thomas.schmidt@example.com
hSclltkEUGGOSWRyrULtgqfSjdZZUTpPwbIoaSR,RCziSYrxhjEETzuGiRiDsbsCRyrcESRVE+tRyLQ,LXrDuXYeUEvpGYvSYLLSUQGkNHZ/tDuVTXYiokp,METEvVYrJqYsWKfDmuUIXdPEYWkVQirsjHKBqAn,siSa+kzsVaVSrnzHp+aHUofiB+MLxgZXbNJLMhR,25,DIRECT_MAIL,Herr,Thomas,Schmidt,Marktplatz,25,58809,Neuenrade,Neuenrade,thomas.schmidt@example.com
LUGTWwZZWUlFRRgR/Y+tDWOVNcnpmeW+sRXVRZd,BZQNpZsSyTUsquHvgsXeJUh/YfmXXWqZQZGzoAn,kfvVHEQUHrZebxMgChIxIolFwOvTuqI+ZhlxBeE,UIJmZUGAqfQUPmohXShUbSvIlzdZtMzBFvlUvCd,nKBsWDVsSJSUP+YRrvJZbwfVgYfO/atTJYl+MQk,10,DIRECT_MAIL,Prof.,Michael,Schulz,Hauptstraße,,58515,Lüdenscheid,,
TEymQIriZIZfuNTbJytMZYRQHJqgxrcDaSuKqp+,BZQNpZsSyTUsquHvgsXeJUh/YfmXXWqZQZGzoAn,kfvVHEQUHrZebxMgChIxIolFwOvTuqI+ZhlxBeE,UIJmZUGAqfQUPmohXShUbSvIlzdZtMzBFvlUvCd,nKBsWDVsSJSUP+YRrvJZbwfVgYfO/atTJYl+MQk,10,DIRECT_MAIL,Prof.,Michael,Schulz,Hauptstraße,,58515,Lüdenscheid,,
jXdctqzUHxGPx+gZyGSp/ZJp/IYhLxhlUNPCYGF,BZQNpZsSyTUsquHvgsXeJUh/YfmXXWqZQZGzoAn,kfvVHEQUHrZebxMgChIxIolFwOvTuqI+ZhlxBeE,UIJmZUGAqfQUPmohXShUbSvIlzdZtMzBFvlUvCd,nKBsWDVsSJSUP+YRrvJZbwfVgYfO/atTJYl+MQk,10,DIRECT_MAIL,Prof.,Michael,Schulz,Hauptstraße,,58515,Lüdenscheid,,
tEKASKdxxiFVgHSeuuxeSYjG/nXFyCITnPGhUgR,BZQNpZsSyTUsquHvgsXeJUh/YfmXXWqZQZGzoAn,kfvVHEQUHrZebxMgChIxIolFwOvTuqI+ZhlxBeE,UIJmZUGAqfQUPmohXShUbSvIlzdZtMzBFvlUvCd,nKBsWDVsSJSUP+YRrvJZbwfVgYfO/atTJYl+MQk,10,DIRECT_MAIL,Prof.,Michael,Schulz,Hauptstraße,,58515,Lüdenscheid,,
UXVChGpyMSXJfTThEuRvVptDVoAovBvEFHEF/cs,wBlrUWoTB/AsXoSXMitXbHwFTRTettWXTuLiFRB,KTyUaWagSLHedDxuuvauUGybyzWWuPqxbvfyiKs,mkRQSoRXZqytTqfJMOBKWVUewjKUk/xuZvhnTPt,VRZibIYvuQXVrYcKIwjGGCerWKQjdcowVoGAAYa,14,DIRECT_MAIL,Dr.,Thomas,Schmidt,Lindenallee,50,58089,Hagen,Vorhalle,thomas.schmidt@example.com
VJFXluHQXz+HipglLDTUfusQJKJWcmRrZPTXYYt,wBlrUWoTB/AsXoSXMitXbHwFTRTettWXTuLiFRB,KTyUaWagSLHedDxuuvauUGybyzWWuPqxbvfyiKs,mkRQSoRXZqytTqfJMOBKWVUewjKUk/xuZvhnTPt,VRZibIYvuQXVrYcKIwjGGCerWKQjdcowVoGAAYa,14,DIRECT_MAIL,Dr.,Thomas,Schmidt,Lindenallee,50,58089,Hagen,Vorhalle,thomas.schmidt@example.com
VKlOAyXUfDKsLLIKgUfTGLTCZM+WpaOastcJcwa,wBlrUWoTB/AsXoSXMitXbHwFTRTettWXTuLiFRB,KTyUaWagSLHedDxuuvauUGybyzWWuPqxbvfyiKs,mkRQSoRXZqytTqfJMOBKWVUewjKUk/xuZvhnTPt,VRZibIYvuQXVrYcKIwjGGCerWKQjdcowVoGAAYa,14,DIRECT_MAIL,Dr.,Thomas,Schmidt,Lindenallee,50,58089,Hagen,Vorhalle,thomas.schmidt@example.com
vzxoXTbGpYWsEAIYaZTEKSjYCSTETWXMbXgSdYf,wBlrUWoTB/AsXoSXMitXbHwFTRTettWXTuLiFRB,KTyUaWagSLHedDxuuvauUGybyzWWuPqxbvfyiKs,mkRQSoRXZqytTqfJMOBKWVUewjKUk/xuZvhnTPt,VRZibIYvuQXVrYcKIwjGGCerWKQjdcowVoGAAYa,14,DIRECT_MAIL,Dr.,Thomas,Schmidt,Lindenallee,50,58089,Hagen,Vorhalle,thomas.schmidt@example.com
DtiSQPaDCpvRJVZA/yRR+e+sMgIvTbTzsjtUwPu,bcGUVUVQDfRfneYM+sbCyIcGyZpMJXlKusUWXHz,hMQPQVFNeQnCdPQYBQGntOHZEKGXEKObIR+onco,YXhv+vuAHPhdYPF+roM+TKQDfaRwDImGxUJRZgS,EVgqyeecTiuWiTVqbQzHoZbePUKaVkQgrmACuYY,60,DIRECT_MAIL,Herr,Sabine,Becker,Dorfstraße,5,58762,Altena,Altena,sabine.becker@example.com
VdIFvLRxbkTBTUICtxQZhZLdAgLRBSYcZbTWnYp,bcGUVUVQDfRfneYM+sbCyIcGyZpMJXlKusUWXHz,hMQPQVFNeQnCdPQYBQGntOHZEKGXEKObIR+onco,YXhv+vuAHPhdYPF+roM+TKQDfaRwDImGxUJRZgS,EVgqyeecTiuWiTVqbQzHoZbePUKaVkQgrmACuYY,60,DIRECT_MAIL,Herr,Sabine,Becker,Dorfstraße,5,58762,Altena,Altena,sabine.becker@example.com
YkLX/oeQHXOWVu+ptQcuyBxuyoMgqTzjGppWUar,bcGUVUVQDfRfneYM+sbCyIcGyZpMJXlKusUWXHz,hMQPQVFNeQnCdPQYBQGntOHZEKGXEKObIR+onco,YXhv+vuAHPhdYPF+roM+TKQDfaRwDImGxUJRZgS,EVgqyeecTiuWiTVqbQzHoZbePUKaVkQgrmACuYY,60,DIRECT_MAIL,Herr,Sabine,Becker,Dorfstraße,5,58762,Altena,Altena,sabine.becker@example.com
bgivQABmshhVaRZlghPdhSOJRzSHvQGYEVqujIw,bcGUVUVQDfRfneYM+sbCyIcGyZpMJXlKusUWXHz,hMQPQVFNeQnCdPQYBQGntOHZEKGXEKObIR+onco,YXhv+vuAHPhdYPF+roM+TKQDfaRwDImGxUJRZgS,EVgqyeecTiuWiTVqbQzHoZbePUKaVkQgrmACuYY,60,DIRECT_MAIL,Herr,Sabine,Becker,Dorfstraße,5,58762,Altena,Altena,sabine.becker@example.com
DWEyUdKRZJ+HbKubTBU+yRWiaKQFCBfXuGpCzvP,MYcDHTcremQXBB+Cfv/FCiTlKupXXJVUKsSSEQS,VH/SWtpnUcsdUVtiE+MxUQVEcx+yVFkZYz+YPkT,'+hILeZUSTrpuENcMmAbYOQYVTYQyWmItSdeTwmW,VVOEDWvyVyQQbkwQRiTJEwvGdURCFiSOelzBVPe,85,DIRECT_MAIL,Herr,Maria,Fischer,Dorfstraße,,58515,Lüdenscheid,,
GtEtNJvpsquulLZIBbRhfydGNsBrbTsvavKjqL+,MYcDHTcremQXBB+Cfv/FCiTlKupXXJVUKsSSEQS,VH/SWtpnUcsdUVtiE+MxUQVEcx+yVFkZYz+YPkT,'+hILeZUSTrpuENcMmAbYOQYVTYQyWmItSdeTwmW,VVOEDWvyVyQQbkwQRiTJEwvGdURCFiSOelzBVPe,85,DIRECT_MAIL,Herr,Maria,Fischer,Dorfstraße,,58515,Lüdenscheid,,
KpCTDhXQpQKxtWTIpCYjyqVRmQqUXUqVoWOH+eS,MYcDHTcremQXBB+Cfv/FCiTlKupXXJVUKsSSEQS,VH/SWtpnUcsdUVtiE+MxUQVEcx+yVFkZYz+YPkT,'+hILeZUSTrpuENcMmAbYOQYVTYQyWmItSdeTwmW,VVOEDWvyVyQQbkwQRiTJEwvGdURCFiSOelzBVPe,85,DIRECT_MAIL,Herr,Maria,Fischer,Dorfstraße,,58515,Lüdenscheid,,
z+GaXRTXQDNgSUpnXqWdblVCobXNBwlvvYFhHUH,MYcDHTcremQXBB+Cfv/FCiTlKupXXJVUKsSSEQS,VH/SWtpnUcsdUVtiE+MxUQVEcx+yVFkZYz+YPkT,'+hILeZUSTrpuENcMmAbYOQYVTYQyWmItSdeTwmW,VVOEDWvyVyQQbkwQRiTJEwvGdURCFiSOelzBVPe,85,DIRECT_MAIL,Herr,Maria,Fischer,Dorfstraße,,58515,Lüdenscheid,,
UAYQYqnOKdzsjYuwfhTJIXOYgrbaSUUUaDaD/Zq,RRXdRQj/XKIquXMcVKVkLccuhWuroYRWTNMBrde,NVDcwdoDSRoXydTSZTlQvjgHpBLaXcXkQC+KgWg,LXSZZkTislvRXDAKEjSgWmexWwZjTjHaUYJpRRc,UMxsxbLWRLETSyZSrEVbDAOR+JKlPirCdcpDWUE,32,DIRECT_MAIL,Dr.,Julia,Wagner,Bergstraße,50,58809,Neuenrade,Neuenrade,julia.wagner@example.com
WxTCagQGsWajUgvkKWiTgTXabUWlcMAEF+HfZkU,RRXdRQj/XKIquXMcVKVkLccuhWuroYRWTNMBrde,NVDcwdoDSRoXydTSZTlQvjgHpBLaXcXkQC+KgWg,LXSZZkTislvRXDAKEjSgWmexWwZjTjHaUYJpRRc,UMxsxbLWRLETSyZSrEVbDAOR+JKlPirCdcpDWUE,32,DIRECT_MAIL,Dr.,Julia,Wagner,Bergstraße,50,58809,Neuenrade,Neuenrade,julia.wagner@example.com
mOmEC+YRQrabaXUq/eLvaXCWYvNZwVHnkXRoTrG,RRXdRQj/XKIquXMcVKVkLccuhWuroYRWTNMBrde,NVDcwdoDSRoXydTSZTlQvjgHpBLaXcXkQC+KgWg,LXSZZkTislvRXDAKEjSgWmexWwZjTjHaUYJpRRc,UMxsxbLWRLETSyZSrEVbDAOR+JKlPirCdcpDWUE,32,DIRECT_MAIL,Dr.,Julia,Wagner,Bergstraße,50,58809,Neuenrade,Neuenrade,julia.wagner@example.com
pFnqQRNgtGAPmongkXVmkuCQsKvTHRSNxqLhiol,RRXdRQj/XKIquXMcVKVkLccuhWuroYRWTNMBrde,NVDcwdoDSRoXydTSZTlQvjgHpBLaXcXkQC+KgWg,LXSZZkTislvRXDAKEjSgWmexWwZjTjHaUYJpRRc,UMxsxbLWRLETSyZSrEVbDAOR+JKlPirCdcpDWUE,32,DIRECT_MAIL,Dr.,Julia,Wagner,Bergstraße,50,58809,Neuenrade,Neuenrade,julia.wagner@example.com
/+UQxhqDkcWiVQw+UNZJPYiJXG++ePgCpmxXUvN,JZULrEZHGFVMmcqcjVOHWpfRKRzgYDYURyZNaOJ,zAFbF/xomTFQXXDdYyVRYGrWZAP+WnYVpmkAYTq,mKIUwFFNaTdsxwSuoYgQCGQnOPdFCrSLZWVCHTd,ReyKiQCQ/TFgNUUEoshrFLGafkRrlgE/WLbULwW,3,DIRECT_MAIL,Herr,Anna,Schulz,Gartenstraße,,58089,Hagen,Vorhalle,
NwRdSJVMCDT/tfaVavGIjDSXLTMLXFyMVQnfIUf,JZULrEZHGFVMmcqcjVOHWpfRKRzgYDYURyZNaOJ,zAFbF/xomTFQXXDdYyVRYGrWZAP+WnYVpmkAYTq,mKIUwFFNaTdsxwSuoYgQCGQnOPdFCrSLZWVCHTd,ReyKiQCQ/TFgNUUEoshrFLGafkRrlgE/WLbULwW,3,DIRECT_MAIL,Herr,Anna,Schulz,Gartenstraße,,58089,Hagen,Vorhalle,
WvUmjDCFKYJfrOrQTDmjnNYBsre/eEYBUICUnDC,JZULrEZHGFVMmcqcjVOHWpfRKRzgYDYURyZNaOJ,zAFbF/xomTFQXXDdYyVRYGrWZAP+WnYVpmkAYTq,mKIUwFFNaTdsxwSuoYgQCGQnOPdFCrSLZWVCHTd,ReyKiQCQ/TFgNUUEoshrFLGafkRrlgE/WLbULwW,3,DIRECT_MAIL,Herr,Anna,Schulz,Gartenstraße,,58089,Hagen,Vorhalle,
xRQbBIcYsTPWyRVePFWXWTlqugwToKYVVDWkBcX,JZULrEZHGFVMmcqcjVOHWpfRKRzgYDYURyZNaOJ,zAFbF/xomTFQXXDdYyVRYGrWZAP+WnYVpmkAYTq,mKIUwFFNaTdsxwSuoYgQCGQnOPdFCrSLZWVCHTd,ReyKiQCQ/TFgNUUEoshrFLGafkRrlgE/WLbULwW,3,DIRECT_MAIL,Herr,Anna,Schulz,Gartenstraße,,58089,Hagen,Vorhalle,
JQprvHQrWBeRFxAETcWotSjQUjhps/TW+Nvj+FL,jTWfucpLUwYAhykiwKwYgzahUQkWGVQfEAnRtJM,nGahDhKHLZmuEegcaq/AUAWdWiacSwWnSHqfHBo,lAcMwaKscgKmvns/SRgJKRCVqgXeIqWXzffSqJu,LbDtzsKIrCc/UcmphmnJAKbYlbUTTrMqVVPHzNY,15,DIRECT_MAIL,Prof.,Petra,Wagner,Kirchweg,3b,58762,Altena,Altena,petra.wagner@example.com
MHSWhMheKYjHszHhufRN+LQLRTbMP/uxZSTTaQq,jTWfucpLUwYAhykiwKwYgzahUQkWGVQfEAnRtJM,nGahDhKHLZmuEegcaq/AUAWdWiacSwWnSHqfHBo,lAcMwaKscgKmvns/SRgJKRCVqgXeIqWXzffSqJu,LbDtzsKIrCc/UcmphmnJAKbYlbUTTrMqVVPHzNY,15,DIRECT_MAIL,Prof.,Petra,Wagner,Kirchweg,3b,58762,Altena,Altena,petra.wagner@example.com
MvwWmibNQSIaZqAbAH+mRG/xzdSG/DOSEyRW++Z,jTWfucpLUwYAhykiwKwYgzahUQkWGVQfEAnRtJM,nGahDhKHLZmuEegcaq/AUAWdWiacSwWnSHqfHBo,lAcMwaKscgKmvns/SRgJKRCVqgXeIqWXzffSqJu,LbDtzsKIrCc/UcmphmnJAKbYlbUTTrMqVVPHzNY,15,DIRECT_MAIL,Prof.,Petra,Wagner,Kirchweg,3b,58762,Altena,Altena,petra.wagner@example.com
NHRONoEtTYXKXRTnLfnIFOKDwUYPtjVdBXWPhyp,jTWfucpLUwYAhykiwKwYgzahUQkWGVQfEAnRtJM,nGahDhKHLZmuEegcaq/AUAWdWiacSwWnSHqfHBo,lAcMwaKscgKmvns/SRgJKRCVqgXeIqWXzffSqJu,LbDtzsKIrCc/UcmphmnJAKbYlbUTTrMqVVPHzNY,15,DIRECT_MAIL,Prof.,Petra,Wagner,Kirchweg,3b,58762,Altena,Altena,petra.wagner@example.com
'+VIvQtRrWwZ/HSqFEkcmXhQ+YKBTGYEBizXISHy,LTSNxqmkSKMZRUFgfMUMPlNmhgTRDaqDIXmsVRO,PRIeWcaWQZTWRXEkQveaIYYxMviWrRoWTxphCea,zZgPbeXvLUhMZYewRjavXJRsbLyZgSRVXeRXdFU,cJFPhnXMNsidmRgVgWMFOvSTmDiXOWNyuECmPDk,2,DIRECT_MAIL,Dipl.-Ing.,Thomas,Becker,Marktplatz,,58515,Lüdenscheid,,
FycjhWVzzQwc+XGbxByPX/VWUorBXewDvBlQfsd,LTSNxqmkSKMZRUFgfMUMPlNmhgTRDaqDIXmsVRO,PRIeWcaWQZTWRXEkQveaIYYxMviWrRoWTxphCea,zZgPbeXvLUhMZYewRjavXJRsbLyZgSRVXeRXdFU,cJFPhnXMNsidmRgVgWMFOvSTmDiXOWNyuECmPDk,2,DIRECT_MAIL,Dipl.-Ing.,Thomas,Becker,Marktplatz,,58515,Lüdenscheid,,
eTRrgNSGeZyuDzBTDJei/aeQha/MMsaZUoSRbmU,LTSNxqmkSKMZRUFgfMUMPlNmhgTRDaqDIXmsVRO,PRIeWcaWQZTWRXEkQveaIYYxMviWrRoWTxphCea,zZgPbeXvLUhMZYewRjavXJRsbLyZgSRVXeRXdFU,cJFPhnXMNsidmRgVgWMFOvSTmDiXOWNyuECmPDk,2,DIRECT_MAIL,Dipl.-Ing.,Thomas,Becker,Marktplatz,,58515,Lüdenscheid,,
gSXPcRyRFWsiTebiuvmXnYVyfBRKuLxQAAuSWlx,LTSNxqmkSKMZRUFgfMUMPlNmhgTRDaqDIXmsVRO,PRIeWcaWQZTWRXEkQveaIYYxMviWrRoWTxphCea,zZgPbeXvLUhMZYewRjavXJRsbLyZgSRVXeRXdFU,cJFPhnXMNsidmRgVgWMFOvSTmDiXOWNyuECmPDk,2,DIRECT_MAIL,Dipl.-Ing.,Thomas,Becker,Marktplatz,,58515,Lüdenscheid,,
EQltFWjXHpTNWnNUlrgrQgNS/QlVZWUoFjpKNgB,cdrYWqmG+LwRmDdsywiKySDFqXfBWncRRD/aPdU,/bTUBSnJAKzooIBQiVblcTxUnRPMtnmWfKLHClt,TZabywum/HiyJVGOwDsMXgeaKknWvTVGXLWuhLc,SbWizEjUAYUYipcaOTlNiZFZWVUazUPWKVcZDar,52,DIRECT_MAIL,Dipl.-Ing.,Klaus,Fischer,Gartenstraße,,58515,Lüdenscheid,,
TtVbgbIWsENowCTXSSZwwJSVVwGBBXgTPivtW/z,cdrYWqmG+LwRmDdsywiKySDFqXfBWncRRD/aPdU,/bTUBSnJAKzooIBQiVblcTxUnRPMtnmWfKLHClt,TZabywum/HiyJVGOwDsMXgeaKknWvTVGXLWuhLc,SbWizEjUAYUYipcaOTlNiZFZWVUazUPWKVcZDar,52,DIRECT_MAIL,Dipl.-Ing.,Klaus,Fischer,Gartenstraße,,58515,Lüdenscheid,,
omVjYlCerdwRZspTPYEbPvdosXnqBZZDpocULZZ,cdrYWqmG+LwRmDdsywiKySDFqXfBWncRRD/aPdU,/bTUBSnJAKzooIBQiVblcTxUnRPMtnmWfKLHClt,TZabywum/HiyJVGOwDsMXgeaKknWvTVGXLWuhLc,SbWizEjUAYUYipcaOTlNiZFZWVUazUPWKVcZDar,52,DIRECT_MAIL,Dipl.-Ing.,Klaus,Fischer,Gartenstraße,,58515,Lüdenscheid,,
wRdRPb/hAKrfMnGqWQRXVzCpmxcG+RaKpgAFBQg,cdrYWqmG+LwRmDdsywiKySDFqXfBWncRRD/aPdU,/bTUBSnJAKzooIBQiVblcTxUnRPMtnmWfKLHClt,TZabywum/HiyJVGOwDsMXgeaKknWvTVGXLWuhLc,SbWizEjUAYUYipcaOTlNiZFZWVUazUPWKVcZDar,52,DIRECT_MAIL,Dipl.-Ing.,Klaus,Fischer,Gartenstraße,,58515,Lüdenscheid,,
NVUoZFWKvMXmaXiUNdWQjGtttbQLPZVf/VWYhHz,vQ+HzLyrqBkUTwSokLWYWVstBTmPveSOatyXvvY,quQqgvlJSuNAPapCmZXvBKTzxbwNUUKtWEZZTwa,GPrFpVSVMTJCLRORWNCpjCOCQAq+jGFaeAaFbYS,TjcpFgCamVkSrrzDgyAQPDv/dgOm+jTyVJBQtkd,24,DIRECT_MAIL,Dr.,Petra,Fischer,Gartenstraße,,58089,Hagen,Vorhalle,
UJkHmhTWNTQWpGSeWQsRkwXnvHkgaEIRFAlKPdS,vQ+HzLyrqBkUTwSokLWYWVstBTmPveSOatyXvvY,quQqgvlJSuNAPapCmZXvBKTzxbwNUUKtWEZZTwa,GPrFpVSVMTJCLRORWNCpjCOCQAq+jGFaeAaFbYS,TjcpFgCamVkSrrzDgyAQPDv/dgOm+jTyVJBQtkd,24,DIRECT_MAIL,Dr.,Petra,Fischer,Gartenstraße,,58089,Hagen,Vorhalle,
iTpC+GZYKiaKXpqZzsFlAtRheoBsnLJ+oZUSROY,vQ+HzLyrqBkUTwSokLWYWVstBTmPveSOatyXvvY,quQqgvlJSuNAPapCmZXvBKTzxbwNUUKtWEZZTwa,GPrFpVSVMTJCLRORWNCpjCOCQAq+jGFaeAaFbYS,TjcpFgCamVkSrrzDgyAQPDv/dgOm+jTyVJBQtkd,24,DIRECT_MAIL,Dr.,Petra,Fischer,Gartenstraße,,58089,Hagen,Vorhalle,
nPuVYMCSeQhvSTixzXnECeq+SuQZSBWGATtuWpC,vQ+HzLyrqBkUTwSokLWYWVstBTmPveSOatyXvvY,quQqgvlJSuNAPapCmZXvBKTzxbwNUUKtWEZZTwa,GPrFpVSVMTJCLRORWNCpjCOCQAq+jGFaeAaFbYS,TjcpFgCamVkSrrzDgyAQPDv/dgOm+jTyVJBQtkd,24,DIRECT_MAIL,Dr.,Petra,Fischer,Gartenstraße,,58089,Hagen,Vorhalle,
WRySRYcLfwXPzjuWGVbIJOQRMNpNonFzSnRy+Ts,IXXWjVlRVVvSyWD+QDuZqRjSbknuzdaLEd/cZWV,ZPBvZYgCoFqQVHtNoqIjdtwoPbFemYgoqLbzpWF,QxlpbVBlnWEB/QsOgYx+AnQOkQjJqdOTwSDYDO/,EJWzADBwTDnoRTPUNDLmQ+fTVMiWENeRKVQb/uZ,4,DIRECT_MAIL,Dr.,Sabine,Becker,Gartenstraße,,58515,Lüdenscheid,,
eFVUHXXQHorAEGXv/RpuDRD/XikaFBExYawnDii,IXXWjVlRVVvSyWD+QDuZqRjSbknuzdaLEd/cZWV,ZPBvZYgCoFqQVHtNoqIjdtwoPbFemYgoqLbzpWF,QxlpbVBlnWEB/QsOgYx+AnQOkQjJqdOTwSDYDO/,EJWzADBwTDnoRTPUNDLmQ+fTVMiWENeRKVQb/uZ,4,DIRECT_MAIL,Dr.,Sabine,Becker,Gartenstraße,,58515,Lüdenscheid,,
ugjiZsFmNibYpWfDSNWjoISM/kAoXQC/juoChly,IXXWjVlRVVvSyWD+QDuZqRjSbknuzdaLEd/cZWV,ZPBvZYgCoFqQVHtNoqIjdtwoPbFemYgoqLbzpWF,QxlpbVBlnWEB/QsOgYx+AnQOkQjJqdOTwSDYDO/,EJWzADBwTDnoRTPUNDLmQ+fTVMiWENeRKVQb/uZ,4,DIRECT_MAIL,Dr.,Sabine,Becker,Gartenstraße,,58515,Lüdenscheid,,
wCVYcUskeQaWrYBWYROmQVoA+zUzOiLDHiAXLUn,IXXWjVlRVVvSyWD+QDuZqRjSbknuzdaLEd/cZWV,ZPBvZYgCoFqQVHtNoqIjdtwoPbFemYgoqLbzpWF,QxlpbVBlnWEB/QsOgYx+AnQOkQjJqdOTwSDYDO/,EJWzADBwTDnoRTPUNDLmQ+fTVMiWENeRKVQb/uZ,4,DIRECT_MAIL,Dr.,Sabine,Becker,Gartenstraße,,58515,Lüdenscheid,,
HuVGTRogYTXcrBulwHuycCA/UhXDPW/uowQWHqV,xziI/EGsSaRC+VEQSuuHEpOYRocWYxJREQ+jghO,DhUd/iQnaCwDXxeu+lmUsnSMEyklZMyv+OqYJSb,B/SFDYPwcV/ZCpPNcOKZksiXWclUKHJIXbPcuof,VTBQaQYU/tMRJYhwSflXbEEcbDrYQrQNgUfXDfY,5,DIRECT_MAIL,Herr,Sabine,Schneider,Hauptstraße,,58809,Neuenrade,Neuenrade,
JjRVYOMIOFmhdJCTGTFFgwRTZ/hQXNQAhSaYZUj,xziI/EGsSaRC+VEQSuuHEpOYRocWYxJREQ+jghO,DhUd/iQnaCwDXxeu+lmUsnSMEyklZMyv+OqYJSb,B/SFDYPwcV/ZCpPNcOKZksiXWclUKHJIXbPcuof,VTBQaQYU/tMRJYhwSflXbEEcbDrYQrQNgUfXDfY,5,DIRECT_MAIL,Herr,Sabine,Schneider,Hauptstraße,,58809,Neuenrade,Neuenrade,
NvDCffQnGPTUbPoULRmSjjlfVMXZOTRRlUXRVWc,xziI/EGsSaRC+VEQSuuHEpOYRocWYxJREQ+jghO,DhUd/iQnaCwDXxeu+lmUsnSMEyklZMyv+OqYJSb,B/SFDYPwcV/ZCpPNcOKZksiXWclUKHJIXbPcuof,VTBQaQYU/tMRJYhwSflXbEEcbDrYQrQNgUfXDfY,5,DIRECT_MAIL,Herr,Sabine,Schneider,Hauptstraße,,58809,Neuenrade,Neuenrade,
ZznRkQJsUnzEgqgQiYAESpRjhlSoCYSbUMyUTmw,xziI/EGsSaRC+VEQSuuHEpOYRocWYxJREQ+jghO,DhUd/iQnaCwDXxeu+lmUsnSMEyklZMyv+OqYJSb,B/SFDYPwcV/ZCpPNcOKZksiXWclUKHJIXbPcuof,VTBQaQYU/tMRJYhwSflXbEEcbDrYQrQNgUfXDfY,5,DIRECT_MAIL,Herr,Sabine,Schneider,Hauptstraße,,58809,Neuenrade,Neuenrade,
/LiVTdYRXoqgPYALPGVHaRgMEXiOhPxWaGnGtHU,ZOBXxFmNqMhMnElSYyWOaslkERdi+VSOHzKSyNB,/jImTxyZYfElGcs+SXjSiwBYlfhvHEVSxWetWfK,TZdAcYlYVFKzsQTPkvXNbUsFtkTjmzUUZMKEUHt,OmSIafrzrBrUvUYZVTpdWRmftGVvTjKPIDAYSlJ,38,DIRECT_MAIL,Dipl.-Ing.,Petra,Weber,Hauptstraße,,58762,Altena,Altena,
HEVpVhQgOJklWWZKEnaVL/AbhUEn+FjRYoTHmZz,ZOBXxFmNqMhMnElSYyWOaslkERdi+VSOHzKSyNB,/jImTxyZYfElGcs+SXjSiwBYlfhvHEVSxWetWfK,TZdAcYlYVFKzsQTPkvXNbUsFtkTjmzUUZMKEUHt,OmSIafrzrBrUvUYZVTpdWRmftGVvTjKPIDAYSlJ,38,DIRECT_MAIL,Dipl.-Ing.,Petra,Weber,Hauptstraße,,58762,Altena,Altena,
mYLSspXYHZJ/lZPmANBKiWbEuoTqhHeFRBhbDET,ZOBXxFmNqMhMnElSYyWOaslkERdi+VSOHzKSyNB,/jImTxyZYfElGcs+SXjSiwBYlfhvHEVSxWetWfK,TZdAcYlYVFKzsQTPkvXNbUsFtkTjmzUUZMKEUHt,OmSIafrzrBrUvUYZVTpdWRmftGVvTjKPIDAYSlJ,38,DIRECT_MAIL,Dipl.-Ing.,Petra,Weber,Hauptstraße,,58762,Altena,Altena,
vci/JYfzPdGR+YZurhFfRAMDuERGTSprqZjTlYh,ZOBXxFmNqMhMnElSYyWOaslkERdi+VSOHzKSyNB,/jImTxyZYfElGcs+SXjSiwBYlfhvHEVSxWetWfK,TZdAcYlYVFKzsQTPkvXNbUsFtkTjmzUUZMKEUHt,OmSIafrzrBrUvUYZVTpdWRmftGVvTjKPIDAYSlJ,38,DIRECT_MAIL,Dipl.-Ing.,Petra,Weber,Hauptstraße,,58762,Altena,Altena,
/PlYTFDhQsTXSGUQicVuYWyhSRUDOZyS/wmnSmS,NHFZSjR/CsWuQUwUZQGgT/pt+HXmwfQMSMzJYDe,HYgZsdLQ+YlGhoricQhhjTYozovLBhFfFkWEeYm,dVMnrc/HJCWWrgXlCxHQnBtYSWMTKUSURWfMDRw,wEZKVoFwUFhtZEkWSod+RQTmXHzRWWYcRPTcXSN,18,DIRECT_MAIL,Herr,Maria,Schulz,Marktplatz,,58089,Hagen,Vorhalle,
HWZYKhADGLVFVCSfgkaXZDYiemSNvxClSmNNTni,NHFZSjR/CsWuQUwUZQGgT/pt+HXmwfQMSMzJYDe,HYgZsdLQ+YlGhoricQhhjTYozovLBhFfFkWEeYm,dVMnrc/HJCWWrgXlCxHQnBtYSWMTKUSURWfMDRw,wEZKVoFwUFhtZEkWSod+RQTmXHzRWWYcRPTcXSN,18,DIRECT_MAIL,Herr,Maria,Schulz,Marktplatz,,58089,Hagen,Vorhalle,
