"""Meter Reading (MR) Doc. No.""",HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POSTCODE1,CITY1,CITY2,EMAIL
WO/VTZcEjtyycalaRIFujeWYvTUDUnDoZVwRVxS,kRYIUkUsTRixVWBIFbnYheWAgsYiMQAQSAGGdmR,CdkwoqCSSieHYnYGYZTSLQUZZZmFrBRbkFfMVsY,iEJzyRTVmclWKYZQSIcexSewAsZhlTsYLWVLCHu,TGCUSDorxKYnxuRqBRXIq/i+BESgkVWlTjzFusW,18,EVU,Dr.,Julia,Meyer,Schulstraße,15,58553,Halver,Halver,julia.meyer@example.com
tLrdXoyNfBXjER/WVZrEXexZnHmhSMONThTZSuZ,iyKfOETXUnpTQNGejIVmdVsYRqIXemT/KiBvvYx,tDYcQXXxqeQhAXfTcfSRXnPVelkURpUT+giupiW,tjsPNDjKtuqHlfiElagitRYZIVHAXV/MciUaJZu,CTintfJoCxUXNANCcDomHqYEWIfOJChXHoXeEai,5,KSA,Dipl.-Ing.,Julia,Schneider,Lindenallee,10,58762,Altena,Altena,julia.schneider@example.com
oKZWXZGPPdSmTvHqDSJBZJREXdUZTDQFOoTddVn,QwCaYURpLBQNeUQaTrCkZ+HaLqzKdksezZOrzvh,GUnQr+bmuBtXvyVuZwjZvKxkUV+B/svcGWqgOky,I+Km/Dvlwfj/H/zuXRZVPXZlXS/YENIde/nANmr,SVUKFeUVSbXiNcSagGTSzQ+ThfFROYbpMRuWDLl,8,KSA,Prof.,Klaus,Schulz,Schulstraße,1,58809,Neuenrade,Neuenrade,klaus.schulz@example.com
KmHdimn+XpYatnLHESG+ZacnLSSFg/GpWsimSQg,IVoJJ+IdYUAJSWpZWlTmqnMsmXadXpiDwaUTR+Z,FRQSMkJyHSOIduhQJeafygsLW+YkgidhtXjmtZI,P+DvRLKTXCEqoRJYiRvrvkqXRUcndCHTvCSaZYW,KI/GkdESjTkVaytecUXjlQrGvZHyE/kKRBVUkFZ,14,KSA,Prof.,Petra,Schneider,Kirchweg,10,58553,Halver,Halver,petra.schneider@example.com
WMoWzENQIGUavacHYQWbTZAynXPNL/BRNTcK/jJ,SKogWBMZJoGGxAplrMuqxVRRVtcZVDdqSiAJBcQ,VdnOJUHRDKewVeldKunfZRUT+vjhaKZbReeEFoQ,aXrmbytuWWTyZNxYGXnQLqNynhwMZVsKOHWYiNG,kYXn/HrpZWZirowCYoYYdsww//AUMYyTUrHjzYf,58,EVU,Frau,Thomas,Hoffmann,Bergstraße,1,58762,Altena,Altena,thomas.hoffmann@example.com
HYe+qXGNbYYVTHSYVnNraiMRSRSjUOUHRcGOTNX,pDQsSnFqqDaMIB/YbaEitSTALmjFkvNNsmPQvyI,UghwaAzSKRuASeJFtSvXlbhAsUoPPVJSxpIWONy,WKHDxaxdEUlUnD//hrYJnNWASi/nSgCtqQX/cDS,XAMQHaSvgYKYkze/AGAEVbOScRCfEzGGpTBxSVI,83,EVU,Herr,Peter,Wagner,Bergstraße,1a,58553,Halver,Halver,peter.wagner@example.com
xJwCVlVVRYZJkWwFClqXlYGAzCPWFUwLXQYbneb,dcJSPhTJCKTXAUVlEZlpCQQUkvKuRDhdNJWDgXV,WrhNkFEboTKyWoJsnKvgZjyTUXdgGcBPzYQVaJA,tjtPIVVpS/tAZRYijKdCRuvskUtJExqWRF+ZRwf,gRSNOXfeXRGHSAtSXLQZCfvRDpZHRKQjQGiESuD,41,EVU,Dipl.-Ing.,Petra,Fischer,Marktplatz,1,58553,Halver,Halver,petra.fischer@example.com
'+pPSbUSMC+CxRkQcOHZJdZfkboGRsTtgyVwzmsn,RbeYsMRRqQ/pwFuBfLZusxRJmVUjdVId/JuSYVS,ktZwRMSSRAJUThxehTAfwCStBfOwE/CncwpKrSo,AUkpQrCBEhGeJBTAYpEDbGPwslyfpqJERhZIOXE,TtJEwQ+LYpQGVodoPGMGQYQwMvxeojrYOmlSIQs,5,KSA,Herr,Peter,Hoffmann,Hauptstraße,3b,58553,Halver,Halver,peter.hoffmann@example.com
P/u/vQD+viptVwGfKdt+MehGYPLZjafsuSLERnT,PyAjQLCokRiUMmTvlQhShAHmulyqzzPZz/TpeRV,SSACeXXHsxWmddjSVSvPaYbmNAWoTTlRjVTDyVq,UI+RhAjAlITjlARgyWoYqZUzGkfnYXQgVVSWdDO,gCmUZULOBWKCgZkxVqFUAOqOWNTWOgZsVUZSfTE,33,KSA,Frau,Sabine,Wagner,Schulstraße,15,58762,Altena,Altena,sabine.wagner@example.com
WwADUCvRUhilcuRPamJdSYseoewYSJwCGamVJ/D,OxnnvNMtXiGplzUcCCLPOpn/TOUDDKyYsZQRwWc,MbknVYaXZXOjYgSZXQvqTKXOTSAMvUleOkgjysu,fISqVMtIfv/VqVneouBVLXlUknMuqcP+sZlGfQW,HHiQZEqZqzZQjRAWSiVoQbDrjtTNQCNQ/fAWvWw,56,KSA,Frau,Peter,Schneider,Kirchweg,1a,58762,Altena,Altena,peter.schneider@example.com
yb/R+kWRONxNcLIEZRAdqycRXKydcjweTCtDYcC,KTRxcEYOvWbQVZvMP/MgnXZaZdBVXCYAhWFftAR,NBKdKYBfThXchPzCvXpaZWAJeVjAKAhXERrqJzQ,DwVwjXvqHUb+TPtcKOYLAEVfbqtjkKGoalSVSCV,wpUQYZlPx/FSQhWfSFftNTZEZutomPFJISJfaST,5,KSA,Dipl.-Ing.,Klaus,Müller,Bergstraße,12c,58553,Halver,Halver,klaus.müller@example.com
mcE/GWSqnWYneMRvVlyGPkYdAQMCXLLYYeqkYGF,EuQdwVf/Oy+JvaJtVQyXFrjDKNpDQmTwYjCwPUA,UMWyHUkSwz/VXsvRSAFVHWZKXoiPewdnKZpqjSd,TZVRrAN/yCzIwkORrtTIeUvx/UXBstJJzjTusmX,RaQqyYVvchlq+EbatVoZOuEyrBrTHUSEhClRHcZ,1,EVU,Prof.,Thomas,Wagner,Lindenallee,12c,58809,Neuenrade,Neuenrade,thomas.wagner@example.com
VCtidUeYbcjUpx+EJLQQPIXVNBaDYJSfnZGxXIu,Crum+RAsnKXIsjy+uOQbJXSXPvFeNsWeoYKYgNS,fdp/iN/WApbrMPhVWRrchaQvwgHtMaYystdxcnY,HUdKXXkzDvJbeHCnHzduJGNjdhRWRSaqzCVUQwe,QoZobxnaWkMhYfDgPwURhatneASKdSlKsbVaRZU,14,EVU,Dr.,Thomas,Weber,Kirchweg,12c,58809,Neuenrade,Neuenrade,thomas.weber@example.com
t/ddoLbivhW+SjIVsdZncHYTBnt+GbAURZMvQ+p,NmzbzZIKFruJkFFZ/Lp/SpIIifiXWmUmWYnTrgv,rTUXPAVKqkqRrJanSQaRUUSmJNSDBxkZbalVktT,SUOSXGBgx+blpYFpQhcMSuKRgzaZBQbSXm+vaYU,SIqsGouzuULMzdBAMomVMXTjMTroTCqDVcSjUCV,26,EVU,Prof.,Michael,Wagner,Lindenallee,5,58762,Altena,Altena,michael.wagner@example.com
AfnyWfYGWpnSxNBRVRVXQFypCRaDPNmUPSWSolY,XfQvSZDfiLUrXYnvqKX/ZhVSWSWlDxXim/mlQoA,WqaiXRjEIWcVONxOdbRSZBEXkDlQOnVaf/mNmwY,QDAurMlqnWSTEgpdtxEiytmXwLfBHQfRBmdOCSX,bMuZSvgNi+YZOuprtWVmVVYXuoAE+ZPlYVcAVSJ,26,EVU,Dr.,Petra,Weber,Marktplatz,12c,58809,Neuenrade,Neuenrade,petra.weber@example.com
YFKeiaekSHnhajSRTZryELPA/QBRvRUczvqSyuJ,GRf+XvNInwrFFMLkfhktJR/BkJZqVFJTlflvVtl,FNVShFmDoImnZngrNjVjCYcxoURchAGaYgXiziE,ZyMHxPhpwZdusTCgiZ/HGFpVNP+PDIBPmPjdVVF,lSFmSiuVUfnZOMXYnZOUEZlUTjhFcIMXPYZnvJL,53,KSA,Herr,Michael,Meyer,Kirchweg,25,58762,Altena,Altena,michael.meyer@example.com
ncUjQueRqtVLuvpdDXQWPY+IUYBRLyWxneCLGdj,TzvOJlUxGLLfG+SEohQSUOjWeJa/WRTDRVQYrVR,RRAVTTdvmmQemPxaLgR+kRGXUZulwkwVOQrQRyL,WWXITfPWyGMHZMmsjHJY+/XmzAkhQwbZNNXFvLO,qTZUVUknJIZQIWCRSGYcfOVVTaagNUSpQhuRNkT,33,KSA,Frau,Thomas,Wagner,Bergstraße,10,58762,Altena,Altena,thomas.wagner@example.com
JTDoSXnQshwihVVgZUyGaxixbcOSjCWYXinKzjd,KvXvoOJ+AwrjJTnTLZYadVrSVUxZkJYuGIWWbIS,QDBM/WQJPKQKgA+TSwEYTQelLIvUWyWmlS/RQps,ZfWrBSyWXZnaYVcluMeVVbxrrwRRpVSTQzmVELr,ovRFwGVPRTgvvTNDYgQQEVSdEIvZ+ZtRuujJMFT,70,EVU,Herr,Hans,Wagner,Schulstraße,12c,58762,Altena,Altena,hans.wagner@example.com
VxnRUyQVULIkTeVUGjzBZOEjYHOdqGYoEVMzUIu,GvlljQghYmMVZ+IQQLOsTjuukPyJP+imGyZGKIx,mRUbwcRnXCRaRBgdUrjmXVqjJxIxseHBTLRQEgx,XSWXszygLMxzWQLGIgApQfkrWUVllYZRcvmRyyg,nYCDjSSmIsYKz/nrsIlzUbVIYQfCzGabBG/BWgV,26,EVU,Dr.,Petra,Meyer,Schulstraße,1a,58762,Altena,Altena,petra.meyer@example.com
SWssvZKJUS+jDsFWJUGPCayD+kfQFQQneet/vtV,SVyrDxXhZSeRWYQharjpuplbIVQExYauMVNrWCt,jcJFzlUEQdR/kg/kTxoVLYWYkTziImjGjKjBOwA,JIjksyWvsTDrCKQAQbOUcSjXRHACytiEkYhsdv/,wzShJYoaZ/egYFX/YSxtcdQkHsPUUexImi+PYEX,50,EVU,Frau,Hans,Becker,Bahnhofstraße,12c,58553,Halver,Halver,hans.becker@example.com
DLNVQKTS+uWw+ebBJLsxKSKAmCWhZRrCYl/uioo,RHeWSU/VsQwxQlfKLtTRVDxAbHsFZ//oZN+UwZi,SShASbZZsQgIwuhgX/VtJwUWdXUEABbQYnDBoAP,nwZkmylhCKCVrYSoFXWaYTbLX+pXhSGUVUcPzSt,ZAAQgdvKxnQgJfEsDREuyGhLBIqHNdZOMD+KSes,4,EVU,Herr,Julia,Schmidt,Dorfstraße,20,58553,Halver,Halver,julia.schmidt@example.com
QgWXogWYReiZyrTAIRTKnTVBVAWjPMEpSqp+RQS,aTxHY+tb+guXMPtlKMlQAMqNqUwycBLTZwLwUbX,amaOTv+neUUcQTDzqLInMRCOhDap+HiZyNXdVAY,QSxQGKMZkQfzTUcRmhUUZDUpRRsRbKteqUhSzAR,HVgsvrTVsaNYNRGrWFRRSgElAaUDKSvVzxlGlmZ,45,KSA,Dipl.-Ing.,Thomas,Schmidt,Kirchweg,10,58553,Halver,Halver,thomas.schmidt@example.com
fLvaHJHuuazicWmYluxHVswiVYYYtVoV/MRSHTk,KeTYQnSgsaWQSRTEhktYcAxQXYVdKQkOdSQfkFg,MTuxoDjfTUYjUbjQcZUUSQEGQsIEwaWIilQO/qd,RYIsITnlvUFH/BXBdRLOWQtNhvRbzeVUJMBRZE/,XRUPGMifXcmQXXfHXOtVeHC/zRhTjXToYrCVmW/,3,EVU,Frau,Sabine,Meyer,Gartenstraße,1a,58553,Halver,Halver,sabine.meyer@example.com
WIZqYINgyXZVvKYEIUpaRdxfQYRZSuSClISKBvy,w/VrZuMVWZjSmjRQhBRkjUqSSCpTkTKmsGQoqfK,bLvnYSfgREIfsNvqS/jveZvp/XtaYKgnRqYHtag,XCNIRbX/hDyQfq+DeHeHDWiYWYrXeZqlsRQNcWo,ufYZxQSHMa//FPWSmOxKVXWfvZcKzWMkaVd/P/T,22,EVU,Herr,Klaus,Meyer,Lindenallee,12c,58762,Altena,Altena,klaus.meyer@example.com
XUtnRRmRlU+basRHXcnSTSgSgANqbWbWnApSbDo,xJkDcCtdIXNXuMYOakAGBXsRiqMBjjzil/gTjaj,fqgsKgxYUUWLPMxfBGyySRoSu/+pHTDZTTDQJbo,WWYYcPUYteYSwRdZUWOnTnFPUVAYRmyVOYfoSsK,H+JnfcnulxJZMEovLzpGZAqGfCMQZkahxYXNRhD,14,EVU,Frau,Michael,Schneider,Waldweg,10,58809,Neuenrade,Neuenrade,michael.schneider@example.com
uxfQnFgCbLoffRkh/XXwQDCLqBRzQve+ZHYCetB,/sIuSzRsQrxsDvdoS+J/YNPYqHq+YDQxWdnHSRs,RZagVVlXiHoTmJxDIPZUfWCIcqydtA//AynsLUZ,SFtYXSboCHKqEaSucdyB+GFRcHRjLOgegZs+eXh,CeyDByvCl/F/+bTmZDHOnYykQwVZiDSuFqmGvPQ,95,KSA,Herr,Julia,Schneider,Kirchweg,15,58553,Halver,Halver,julia.schneider@example.com
CLXskVMSAmTZbkUubDutObMQIiJRWucdWTQCPlb,RCziSYrxhjEETzuGiRiDsbsCRyrcESRVE+tRyLQ,LXrDuXYeUEvpGYvSYLLSUQGkNHZ/tDuVTXYiokp,METEvVYrJqYsWKfDmuUIXdPEYWkVQirsjHKBqAn,siSa+kzsVaVSrnzHp+aHUofiB+MLxgZXbNJLMhR,25,KSA,Herr,Thomas,Schmidt,Marktplatz,25,58809,Neuenrade,Neuenrade,thomas.schmidt@example.com
ZRIWQWNReROiXKdbjOaVVZMpZiMxpWTeSEefZfi,YjdiqQZuCnsJDFsrsAdcFStTMwSqVvCILzbTCXd,pxTfMkVTVTaiS/sXexTuXScnpFmAyYIRRbDNZJv,XCQSXiWCagd/ZcW+tzXIAXobbQlYDs/MNTtr/VL,RBvpkpVVkHAptYflqCfQKShljoB+FIXp/xCQsrQ,12,EVU,Prof.,Peter,Fischer,Waldweg,50,58809,Neuenrade,Neuenrade,peter.fischer@example.com
VdIFvLRxbkTBTUICtxQZhZLdAgLRBSYcZbTWnYp,bcGUVUVQDfRfneYM+sbCyIcGyZpMJXlKusUWXHz,hMQPQVFNeQnCdPQYBQGntOHZEKGXEKObIR+onco,YXhv+vuAHPhdYPF+roM+TKQDfaRwDImGxUJRZgS,EVgqyeecTiuWiTVqbQzHoZbePUKaVkQgrmACuYY,60,KSA,Herr,Sabine,Becker,Dorfstraße,5,58762,Altena,Altena,sabine.becker@example.com
Cbg/TU+XYytjKqPIvQqVYMhQuLETEvKpiTpvCSS,RrVriZWhrTlyYRmUUGrVgutZPfaApEQPfuYuBew,NBjTDAKujY+hMgRtepCBWhFqRnTzgtXBctEIOlQ,ROUvtEfNnhqedFXRNesVGohISOndDAFa+XSTpER,WvTWRRNTRxKDyUVXuoUJCwQIuTcatDqPctkTgxD,38,EVU,Frau,Peter,Weber,Bahnhofstraße,50,58809,Neuenrade,Neuenrade,peter.weber@example.com
pmFYhcPsujb+fADXnRsdY+JcLsV/xQWlSmRxKoD,OXoozQQgGcKCUjFtXUcsXfKvG+BfYggWZyjuluR,jQSQtBRVrGOPROlvNidakcpWzQUWoXOVZdRtGTS,QxaqQfj+WyVZSHxgwFbSTmxUVPkHRvn/QLfTeDg,tYUXKXmqWOJTKOUSWnYhOkh+iAik/wYSXM+FGwF,7,KSA,Prof.,Petra,Schneider,Gartenstraße,15,58553,Halver,Halver,petra.schneider@example.com
pFnqQRNgtGAPmongkXVmkuCQsKvTHRSNxqLhiol,RRXdRQj/XKIquXMcVKVkLccuhWuroYRWTNMBrde,NVDcwdoDSRoXydTSZTlQvjgHpBLaXcXkQC+KgWg,LXSZZkTislvRXDAKEjSgWmexWwZjTjHaUYJpRRc,UMxsxbLWRLETSyZSrEVbDAOR+JKlPirCdcpDWUE,32,KSA,Dr.,Julia,Wagner,Bergstraße,50,58809,Neuenrade,Neuenrade,julia.wagner@example.com
cSeUekdZudEJu/UdAUPUvWzAryOZCHkNSCcOWt+,ZhgGhrIZWCOIHWmsaQbSvcqlbAQpROLQSXloUvo,AnCTefswQfbSCWzutpWZgSunGERSVZcNQncPEwX,vWQpCVMbVJmUjUlBRoeLLOYeftPfZELIqrEQNYF,UfvqqMRWITmQlpSIDwjDaJhDidtqLfJ+MeQSHN+,16,EVU,Herr,Julia,Schmidt,Kirchweg,30,58553,Halver,Halver,julia.schmidt@example.com
iFtJmlAWlCTHcVRdzdrGRvj+xHsafJWrgrnOkuQ,gZVFSyTYEcLVrezV/tXQVm+PRDl//rQstmSfALr,qRnkPWdAXTfXcUFVRRQDQcYDDIQWSGXUFSYCXsu,/QHAyIVGCeWpQCIiuvrZtjdHCNQgNVqxbRzWFop,O++LNLwQVAsaF/fdNdYlWwuhlBSbTTIJWaWZyOc,84,EVU,Frau,Klaus,Schneider,Waldweg,5,58553,Halver,Halver,klaus.schneider@example.com
ZW/TYDDQUVBRNuRBUyUGKEmQsJYVBNWrJaeXXQC,XVKKsMDsiOPzsjQlTZUFxXSYBtSNuGAQRweGhVQ,lIIAMTnJWuYdlPVMg/gZEYYrnbneSVOTRsUVOTn,ifEaliAneKfkYoYWLgXUQgQvGZyvZWnUqZO/TiG,SQVU/jZAKDmeqX/FAVMqSoQgEkUgvuTuUgiQMro,1,EVU,Prof.,Peter,Becker,Bergstraße,2,58553,Halver,Halver,peter.becker@example.com
VkqkSzGiUznQEgKEZIVxWbrNeivUbkEZcZaXoNn,ReHbyRaBZjIcPVLJTQxTYbtXBpVABs+d/lVW+cz,CYXFTKHQpYEwrIxHqV+EKQTAM+vEwXZYeXUFap+,zZe+tBWYZyBRVRRfUhxkVoxrFWFQGJyFXBPQmEH,UZXpCS+DJSaiQXk/XhjQYAVXkocQmmSlUrkCDnI,77,KSA,Dr.,Julia,Fischer,Bahnhofstraße,2,58809,Neuenrade,Neuenrade,julia.fischer@example.com
'+WcKQsLUhfd/TuYcqLUwXN+hXLcmGumkSnEEfoX,YP/pKxekBhjyoCvWRyfvpqd+PGVAQbf+uOmUVeD,UpqwvMWSySyLWTKQWrTJwmsmbHEhRYCQcAseoVr,MfunyXJEJOpgOS+T/FVvCTSYxqeUc/LWdBhsoYI,ZYxzYIomRGiFvJxdTaTRk+vnBjVeANFMlTIhvQX,1,EVU,Prof.,Klaus,Meyer,Marktplatz,50,58762,Altena,Altena,klaus.meyer@example.com
NHRONoEtTYXKXRTnLfnIFOKDwUYPtjVdBXWPhyp,jTWfucpLUwYAhykiwKwYgzahUQkWGVQfEAnRtJM,nGahDhKHLZmuEegcaq/AUAWdWiacSwWnSHqfHBo,lAcMwaKscgKmvns/SRgJKRCVqgXeIqWXzffSqJu,LbDtzsKIrCc/UcmphmnJAKbYlbUTTrMqVVPHzNY,15,KSA,Prof.,Petra,Wagner,Kirchweg,3b,58762,Altena,Altena,petra.wagner@example.com
WEeCcUsaDkigjP+twthRthvBQVpREyxmQsEjcHS,xIScBuVjR+KKURfRXRQxaYFdjpXGiNyxfPtnNZQ,XMTURRnPbvJjRoTPoLsGAghvuZAJMADeYtvrJcV,xMbSiTzPJEVQRNllgfMta/VFMWcFKbKLPZpWyTr,yixLtmSVlY+TbquIuYqTrqG+ezMgvfdc+yESXLy,8,EVU,Herr,Julia,Schulz,Hauptstraße,25,58553,Halver,Halver,julia.schulz@example.com
NYGrFXhRWRrCKoOQgzEObdYVJZLWdSEofWRamcX,pZCZAscJYCCDstjFsCnleTtfyZpVztKgEdnVSPj,JeXxQROFLgrrRVOoVBxTAZoKSiPVOlFyaMavJmi,hXUcHRY/uPHUZThZ/fqwmsARQFQxF/yVFEiqN+J,GcAPhaVhxJMQkIVUFTILYpxsYgUsxvMQMVyfNoI,36,EVU,Herr,Peter,Meyer,Waldweg,20,58809,Neuenrade,Neuenrade,peter.meyer@example.com
ZVV+UUNzRITAAUlpBzGoZRqiRhziKTTSbCFiBJf,oamLQjVhSZnTREHVzaFmR+mUwxDxZlgwHBMTIyC,GfyRvnUEY+DRnXBAZvtQZnFlNxbmXXjKmKoUoEx,RYPZpELQYZhVmYqUSYHGWDseWDWehMPFUFCIUHJ,ShwrKmTrENXZYeYRucaLyZhSOIZHrXcFpxVKZWQ,10,EVU,Prof.,Peter,Wagner,Kirchweg,42,58553,Halver,Halver,peter.wagner@example.com
yZkexyhYmXUAV+igIPrlJSIkMxYKZUCfzZoXNJR,IOdiaTz/bxZxJXboUZpflNlfybJIUYKcfztNB+J,IGZVZqUOYKSKJAzrEYBWVKLnsIdOZteGkTUHOkR,kVVbDwjomqfQfwJHUTVRRKhWKWZwfjcFESPwICC,kIyVStDRzcZUWxVcUHkvSaTPbTbCIJqqOlYyIYS,47,KSA,Frau,Michael,Fischer,Schulstraße,15,58553,Halver,Halver,michael.fischer@example.com
XQOPwlmUIlMneSQtjtai/ASzdRNDSqLnSocSQGu,RTTttHTOVL+sQrOBYjurrNQB/WOUSBRXJSouWMQ,kQ/FbfoVcIoxiVWTmVnwZVlQSmFEhVQtUIzVvwg,tJfjXumSLUkpdPBFTxe/T+HxYk+GUnSyQ/uXWUB,eP+TyhSByaOaRoaUlLxnWGceZlMx+BpEzwKZRZZ,2,EVU,Prof.,Petra,Fischer,Kirchweg,20,58809,Neuenrade,Neuenrade,petra.fischer@example.com
DSRLjnXIsVTQXfivMd+aNXfjzHAvoXsxiyGPSbp,VSJCWA/X/UUUPaUpQXvQfYUYoeYYgk/LECrvDVV,h/ZYZqxsPukoEVQPKcQmcjvZbzgVHNVHsWVMRKy,iEvBAbrQEebnPm+JPUYQWXSYjpAUOhVHMFPVRL/,SvNTGq+kITTbWrRdLnPfSCOIWWZwxG+eUfRoq/H,51,EVU,Frau,Hans,Hoffmann,Waldweg,10,58809,Neuenrade,Neuenrade,hans.hoffmann@example.com
FETwyxXcuofXUQVuWXbxVZvPkYJEgBuvnEsCWSZ,SnFBKbTygRWXAfrvThXmU+bXETSxvSTgzSRZeQO,dqmyXZsJdPWiWbLIdSYQSYxJZWeznGYGJfvWJQZ,QfBViaMXSaTajTShKV+PCtRjipGbImVdGrqXMhC,VgwNjATzRRwsFxbnIVlthkupYMIUWVVBpEVWaJk,2,EVU,Prof.,Peter,Schneider,Gartenstraße,42,58762,Altena,Altena,peter.schneider@example.com
sQOZUTcuYaYHVrQvWupcSqzHQNGdXqrwWacMRUQ,Jm/BlnNcUxVSILVcW+mWLsWqQWxQW+GwUqBxUXG,AAyIibXpRtSGSoSOMAaAlWsdIVAQUUStJlFGdRS,mKRUrbpNzYeCa+/IPhtqDZBaGBIlbfppgUsZVjL,CUnUDxcUcgu+Zldq/EvTGRWVSMToUEtXRNQjpbE,32,EVU,Prof.,Sabine,Schulz,Marktplatz,1a,58809,Neuenrade,Neuenrade,sabine.schulz@example.com
tFnZxTaQi/ERQZYFWJBcOEzTWrVuktWJpwZVYYm,LZyHVbYzViQOrvTHESexcrZIlvcYUCkthvkEvTs,iTX/MLdnXApeCZtYTIqCtOQuiAauUZ+onfMWSIa,ROZTcZQnMMXEGoRRiTgxJKjiYCnXbTXcguVT/QB,fEhgRsWhQEahJvwWYKpPXOHRncQkyZUQCZyVUll,29,EVU,Herr,Sabine,Schulz,Bergstraße,50,58762,Altena,Altena,sabine.schulz@example.com
JimtjmxvuTJRNfRxnTusUUFkLcWbu/heDXiDAXf,yzUN/CYRUNiRETTzJTIbYyaUWqjSqRXUvtVaXiX,pVYiKzWuqTigVkAMBfHOXUrIYLGKfQieaVRLSDs,VtktsZSFmtHbqfQklXvtiWycPtLETIVIfWmTJkW,NqsBYnQ/WThDuWYIsmWsshoeTYyrrjgDqRTUIcR,20,EVU,Dr.,Peter,Müller,Dorfstraße,1a,58553,Halver,Halver,peter.müller@example.com
MlisBBPEVX/+/AVPWmacwZcScw/SzjQQrAHdYun,GwTLvuRTFVBxLVvQTqoTyEVZHwTlPAwCIrtZTqc,qMwTuWcXeFfkK/MXvfOJ/bIUZmXhGPpioEhGQIC,'+GIjTmdwZYgXcRtNGc+V/YxXEthVVhcJZZjSSH+,YOYuz/YMqQWXdpXzU/jTIqwQMPumWgRDQ+TKTbz,69,KSA,Dipl.-Ing.,Hans,Wagner,Bahnhofstraße,10,58553,Halver,Halver,hans.wagner@example.com
iyeGqEyGwppRQlljfBkzDcmWqoIXPdwabTnUAiZ,nhfCVVWOXzuTAExdMFSSYWXefTBkTUxTLRH/eAp,jSgXUsNeDOJXAYJ/YZIVkQWAEoEVTZQqzDkHSsx,QDVFYYGMfrRDAdZeBVSZQgmEBvVnsFEUl/yUWUh,CMdXjBDVVOaSfSYnitIOuBuMEjYosZKShVrmRKg,10,EVU,Prof.,Anna,Müller,Dorfstraße,25,58762,Altena,Altena,anna.müller@example.com
WXyCTfqDkStIluFUBFShEgKp+QmqPqbQOprKWWW,OXNShQfRTHXcHGLEYYwakGVSEFXtssXhkDGBkV+,YNxjY/fxXufSMTxdcVeHKPZZLNJKNPEZnQPZpil,JJbngwGSmuFSqFTCfoNHt+pIMaKSYGErgDOSGUf,kDBVXUVeQXsRYenT/SpuNjZpcZRQvCKMJGZIQxx,1,KSA,Dr.,Klaus,Meyer,Schulstraße,20,58762,Altena,Altena,klaus.meyer@example.com
JjRVYOMIOFmhdJCTGTFFgwRTZ/hQXNQAhSaYZUj,xziI/EGsSaRC+VEQSuuHEpOYRocWYxJREQ+jghO,DhUd/iQnaCwDXxeu+lmUsnSMEyklZMyv+OqYJSb,B/SFDYPwcV/ZCpPNcOKZksiXWclUKHJIXbPcuof,VTBQaQYU/tMRJYhwSflXbEEcbDrYQrQNgUfXDfY,5,KSA,Herr,Sabine,Schneider,Hauptstraße,12c,58809,Neuenrade,Neuenrade,sabine.schneider@example.com
XDuZDFFjnSxjSnQeQnlsecEYZgpiALcZsKzQZUP,PKUsyGMAkpCUSgWTZLHjEhtEdDSoDiEiXswkHSX,fjxSwBOhYmXECMMdVQFGnUVFWnISlZmeZsDfYWU,ZyZGqXOBNJqZvQCmbcWIQkVUBSpcHYTevtKjuVV,vURVhdfXHUMOI+EJi/jKbUjBcVVFbYLsYSQlGBZ,30,KSA,Dr.,Hans,Meyer,Bergstraße,20,58762,Altena,Altena,hans.meyer@example.com
BmVJJSTgbbBtsU+WceCtQDrWBM+xVluOCQJJQJX,xf/ujfZKWEDPJlZXUUZtIHGuFBTXPFWMglweiCS,VBVgTMTTnzJiJUpZBTFNRqmHHpvzHXYURRRZRWZ,ifRdfZBT+xtKUCOPLHOwntT+mamyeYzynboHOQK,BJjGrQkfqDJWhzZsVjvRRlSUnU/YCtTSKU/O/VQ,11,EVU,Herr,Julia,Becker,Gartenstraße,42,58553,Halver,Halver,julia.becker@example.com
tUWPivKtVWVSgwSaQNCoPYXOYTPA/ueejWJdEXS,WRlHzJzYStjYTTRLcTuzUYalzziqTLHaNAKNuDZ,MVvIzTBezgQkgYRKKwcAVDqPRcBCZfivEMu+YMS,SUWUUVjPgBJGjyshVCrWIXTyp+QxafCSdznFqEL,QwURmwSWlbbKpHdLrjQmURvTKRbogq/vUXiUIDp,53,KSA,Dr.,Peter,Fischer,Lindenallee,30,58809,Neuenrade,Neuenrade,peter.fischer@example.com
jMISXmVNJaGXUITHjIQsmRawuxSzAdbc+DVisWs,GvlljQghYmMVZ+IQQLOsTjuukPyJP+imGyZGKIx,TzoHKGSeuZlaRssnyiUzAiUMglQlZr+kTPVsPjY,KSEwVjmnMjSkVATSVUwW+hsQorAJdFSdeRX/nyI,GCHzPitSHQhAVQouGUfpaNVuTccqPZCFWqWCZHo,26,EVU,Dr.,Peter,Wagner,Schulstraße,5,58762,Altena,Altena,peter.wagner@example.com
